source_state,S. No.,District Code,District Version,District Name,District Name_1,Census 2001 Code,Census 2011 Code
Jharkhand,18.0,338,1,Palamu,पलामू,02,358
Jharkhand,19.0,607,1,Ramgarh,रामगढ़,04,361
Jharkhand,20.0,339,1,Ranchi,रांची,14,364
Jharkhand,21.0,340,1,Sahebganj,साहेबगंज,09,352
Jharkhand,22.0,341,1,Saraikela Kharsawan,सरायकेला खरसावां,17,369
Jharkhand,23.0,342,1,Simdega,सिमडेगा,21,367
Jharkhand,24.0,343,1,West Singhbhum,पश्चिमी सिंघभूम,17,368
Jharkhand,,,,,,,
Jharkhand,"Sep 5, 2026, 6:38 PM",,,,,,
Karnataka,,,,(In English),(In Local),,
Karnataka,1.0,524,2,Bagalkote,ಬಾಗಲಕೋಟೆ,02,556
Karnataka,2.0,528,4,Ballari,ಬಳ್ಳಾರಿ,12,565
Karnataka,3.0,527,2,Belagavi,ಬೆಳಗಾವಿ,01,555
Karnataka,4.0,526,4,Bengaluru Rural,ಬೆಂಗಳೂರು ಗ್ರಾಮಾಂತರ,21,583
Karnataka,5.0,631,4,Bengaluru South,ಬೆಂಗಳೂರು ದಕ್ಷಿಣ,21,584
Karnataka,6.0,525,1,Bengaluru Urban,ಬೆಂಗಳೂರು,20,572
Karnataka,7.0,529,1,Bidar,ಬೀದರ್‌,05,558
Karnataka,8.0,531,3,Chamarajanagar,ಚಾಮರಾಜನಗರ,27,578
Karnataka,9.0,630,2,Chikkaballapura,ಚಿಕ್ಕಬಳ್ಳಾಪುರ,19,582
Karnataka,10.0,532,2,Chikkamagaluru,ಚಿಕ್ಕಮಗಳೂರು,17,570
Karnataka,11.0,533,1,Chitradurga,ಚಿತ್ರದುರ್ಗ,13,566
Karnataka,12.0,534,2,Dakshina Kannada,ದಕ್ಷಿಣ ಕನ್ನಡ,24,575
Karnataka,13.0,535,2,Davanagere,ದಾವಣಗೆರೆ,14,567
Karnataka,14.0,536,1,Dharwad,ಧಾರವಾಡ,09,562
Karnataka,15.0,537,1,Gadag,ಗದಗ,08,561
Karnataka,16.0,539,1,Hassan,ಹಾಸನ,23,574
Karnataka,17.0,540,1,Haveri,ಹಾವೇರಿ,11,564
Karnataka,18.0,538,2,Kalaburagi,ಕಲಬುರಗಿ,04,579
Karnataka,19.0,541,1,Kodagu,ಕೊಡಗು,25,576
Karnataka,20.0,542,1,Kolar,ಕೋಲಾರ,19,581
Karnataka,21.0,543,1,Koppal,ಕೊಪ್ಪಳ,07,560
Karnataka,22.0,544,1,Mandya,ಮಂಡ್ಯ,22,573
Karnataka,23.0,545,2,Mysuru,ಮೈಸೂರು,26,577
Karnataka,24.0,546,1,Raichur,ರಾಯಚೂರು,06,559
Karnataka,25.0,547,2,Shivamogga,ಶಿವಮೊಗ್ಗ,15,568
Karnataka,26.0,548,2,Tumakuru,ತುಮಕೂರು,18,571
Karnataka,27.0,549,1,Udupi,ಉಡುಪಿ,16,569
Karnataka,28.0,550,2,Uttara Kannada,ಉತ್ತರ ಕನ್ನಡ,10,563
Karnataka,29.0,738,3,Vijayanagara,vijayangara,,000
Karnataka,30.0,530,2,Vijayapura,ವಿಜಯಾಪುರ,03,557
Karnataka,31.0,635,1,Yadgir,ಯಾದಗಿರಿ,04,580
Karnataka,,,,,,,
Karnataka,"Sep 5, 2026, 6:38 PM",,,,,,
Kerala,,,,(In English),(In Local),,
Kerala,1.0,554,1,Alappuzha,ആലപ്പുഴ,11,598
Kerala,2.0,555,1,Ernakulam,എറണാകുളം,08,595
Kerala,3.0,556,1,Idukki,ഇടുക്കി,09,596
Kerala,4.0,557,1,Kannur,കണ്ണൂര്‍,02,589
Kerala,5.0,558,1,Kasaragod,കാസര്‍കോഡ്,01,588
Kerala,6.0,559,1,Kollam,കൊല്ലം,13,600
Kerala,7.0,560,1,Kottayam,കോട്ടയം,10,597
Kerala,8.0,561,1,Kozhikode,കോഴിക്കോട്,04,591
Kerala,9.0,562,1,Malappuram,മലപ്പുറം,05,592
Kerala,10.0,563,1,Palakkad,പാലക്കാട്,06,593
Kerala,11.0,564,1,Pathanamthitta,പത്തനംതിട്ട,12,599
Kerala,12.0,565,1,Thiruvananthapuram,തിരുവനന്തപുരം,14,601
Kerala,13.0,566,1,Thrissur,തൃശ്ശൂര്‍,07,594
Kerala,14.0,567,1,Wayanad,വയനാട്,03,590
Kerala,,,,,,,
Kerala,"Sep 5, 2026, 6:39 PM",,,,,,
Ladakh,,,,(In English),(In Local),,
Ladakh,1.0,6,2,Kargil,KARGIL,08,004
